,R_mean,R_median,R_std,G_mean,G_median,G_std,B_mean,B_median,B_std,IR_mean,IR_median,IR_std,DomCol1_R,DomCol1_G,DomCol1_B,DomCol2_R,DomCol2_G,DomCol2_B,Edge_mean,Edge_median,Edge_std
469,0.657198,0.0,1.3369378402887695,20.39292,19.0,4.212214367004605,45.553902,44.0,3.8675646826389345,0.209392,0.0,0.7344228961136766,0.0019406675893246467,0.06861295099971766,0.1688618082072345,0.08563531748050916,0.19255161723954836,0.1688618082072345,0.0002129360061710438,0.0,0.0015483749126478184
470,0.832624,0.0,2.378007837376488,20.071361,18.0,5.607274258289762,46.023146,44.0,5.745212290480135,0.077209,0.0,1.0189130337369328,0.003911297909301757,0.09809968486627715,0.19940214783447277,0.12008660143154495,0.2451869055990661,0.19940214783447277,0.00036158941480147496,0.0,0.004040579310102938
471,0.641268,0.0,2.2180129287666475,17.769922,15.0,5.648832632846897,44.035351,42.0,5.912496030171944,0.054578,0.0,1.1038637786955419,0.002798732576098465,0.09205981115800313,0.19554246115272642,0.17057838177606888,0.32225030665759796,0.19554246115272642,0.0002724068195138107,0.0,0.0042698576752596565
472,0.661555,0.0,2.777608320475549,17.102507,14.0,6.150497322570834,43.483161,41.0,6.631596824904165,0.089333,0.0,1.5179178551921049,0.0018375112054561894,0.052346487738280274,0.1546001021334585,0.0029246192660814306,0.09025007233815392,0.1546001021334585,0.0004888355413735164,0.0,0.006187672057262774
473,0.84529,0.0,3.8470296094389496,23.141122,24.0,6.734885639794935,49.610549,50.0,7.1400559464614135,0.192307,0.0,2.292008948008494,0.0027630246285387837,0.09648162972503335,0.2007877177407527,0.19561281570316605,0.3725992592249077,0.2007877177407527,0.0010557649149027064,0.0,0.009221904504480124
474,0.890692,0.0,4.2906945546305195,26.604361,26.0,6.02988364578281,53.262589,53.0,6.260057668830137,0.279857,0.0,2.7747607211345255,0.002237959758231935,0.10249778448670263,0.20697712847361238,0.33033200040265115,0.5484524610529297,0.20697712847361238,0.0014527847461257072,0.0,0.01088735562927484
475,1.324735,0.0,6.235522767160345,26.019203,25.0,8.670187670678821,51.208522,50.0,9.112940610775208,0.590541,0.0,4.408731373912341,0.09016259529636457,0.23282103505968213,0.3371996010853594,0.0028206935267540826,0.09859088804130671,0.3371996010853594,0.003006808637910615,0.0,0.016958517402862288
476,21.898408,2.0,37.984473947463535,42.50058,25.0,33.95752702514715,56.30798,46.0,25.90516180840413,27.212948,0.0,54.83501311342321,0.016313859018337578,0.10487877618247592,0.17710642357131726,0.48476887152183884,0.5212789633948541,0.17710642357131726,0.017470279524168426,0.0,0.038754637484832606
477,110.839932,112.0,34.36819815229446,109.463968,111.0,33.16403111346653,102.714639,104.0,31.175774667194382,145.505909,148.0,32.808236390938774,0.4330191605547712,0.4308417950978809,0.4020809557059676,0.2658496640759301,0.2628431962114665,0.4020809557059676,0.06922079246668665,0.057518196642637756,0.049630845502659816
478,1.350027,0.0,6.097310234789681,19.347411,18.0,9.461238005519098,36.911871,35.0,10.546138168986744,0.657123,0.0,4.599657635397551,0.002698679908331643,0.07141934650207786,0.13974174262951555,0.0709198746569396,0.20184690211719122,0.13974174262951555,0.0036466163650116248,0.0,0.017963763172505885
